Key,POS,DictForm,Transliteration,Translation,SpecialTags,LinkedTo,Mnemonic,Chapter,DifficultyPreset,Type,Subtype,Case_,Number,Gender,Person,Tense,Voice,Mood
298,B,ὁπου,hopou,where,,0,0,13,0,C,,,,,,,,
299,B,ὁτε,hote,when,,0,0,13,0,C,,,,,,,,
300,B,οὐκετι,ouketi,no longer,,35,(ουκ + ετι),13,0,N,,,,,,,,
301,B,οὐχι,ouchi,not,(emphatic ου),35,,13,0,N,,,,,,,,
302,B,σημερον,semeron,today,,0,0,13,0,C,,,,,,,,
303,B,τοτε,tote,then,,0,0,13,0,C,,,,,,,,
304,C,γαρ,gar,for,(postpositive),0,,13,0,C,,,,,,,,
305,C,διο,dio,therefore,,0,Δ∴,13,0,C,,,,,,,,
306,C,ἠ,e,or,,0,0,13,0,C,,,,,,,,
307,C,μεν...δε,men...de,on the one hand...on the other hand,(postpositive),0,,13,0,C,,,,,,,,
308,C,οὐδε,oude,and not; nor; not even,,0,(οὐ + δε),13,0,C,,,,,,,,
309,C,οὐδε...οὐδε,oude...oude,neither...nor,,0,0,13,0,C,,,,,,,,
310,C,οὐν,oun,therefore; then,(postpositive),0,,13,0,C,,,,,,,,
311,B,ἀμην,amen,truly,,0,Amen,14,0,C,,,,,,,,
312,B,ἀξιως,axios,worthily,,,0,14,0,C,,,,,,,,
313,B,ἐγγυς,engus,near,,0,0,14,0,C,,,,,,,,
314,B,ἐκει,ekei,there; in that place,,,0,14,0,C,,,,,,,,
315,B,εὐθυς,euthus,immediately; at once,,,(Also appears as εὐθεως),14,0,C,,,,,,,,
316,B,ἐξω,exo,outside,,0,0,14,0,C,,,,,,,,
317,B,οὑτως,houtos,thus; in this manner,,,0,14,0,C,,,,,,,,
318,B,παντοτε,pantote,always,,,0,14,0,C,,,,,,,,
319,B,ποτε,pote,when?,,,0,14,0,C,,,,,,,,
320,B,ὡδε,hode,here; in this place,,0,0,14,0,C,,None,1,None,1,A,P,I
321,V,ηχθην,echthen,I was led,,,0,15,0,,,None,1,None,1,A,P,I
322,V,ηκουσθην,ekousthen,I was heard,,,0,15,0,,,None,1,None,1,A,P,I
323,V,εβληθην,eblethen,I was thrown,,,0,15,0,,,None,1,None,1,A,P,I
324,V,εβαπτισθην,ebaptisthen,I was baptized,,,0,15,0,,,None,1,None,1,A,P,I
325,V,εγενηθην,egenethen,I became,,,0,15,0,,,None,1,None,1,A,N,I
326,V,εγνωσθην,egnosthen,I was known,,,0,15,0,,,None,1,None,1,A,P,I
327,V,εδιδαχθην,edidachthen,I was taught,,,0,15,0,,,None,1,None,1,A,P,I
328,V,εδοξασθην,edoxasthen,I was glorified,,,0,15,0,,,None,1,None,1,A,P,I
329,V,ἡτοιμασθην,etoimasthen,I was prepared,,,0,15,0,,,None,1,None,1,A,P,I
330,V,εκηρυχθην,ekeruchthen,I was preached,,,0,15,0,,,None,1,None,1,A,P,I
331,V,ελημφθην,elemphthen,I was taken;I was received,,,0,15,0,,,None,1,None,1,A,P,I
332,V,ελειφθην,eleiphthen,I was left,,,0,15,0,,,None,1,None,1,A,P,I
333,V,επεισθην,epeisthen,I was trusted in,,,0,15,0,,,None,1,None,1,A,P,I
